image_id,split,file_name,zero_gt,annotation_count,class_count
49,val,train/02222df826791117f315ecb2b58c5b69.jpg,0,3,1
50,test,train/023a8b8557d1fd59f272c63be6f3d4c0.jpg,0,10,4
51,train,train/024f9140bd829c346fc91fcf4009d251.jpg,0,23,3
52,train,train/025534801b62d61f1c1c9e571ea74695.jpg,0,5,2
53,train,train/02562eb68a9c682f5f644fa7a099733f.jpg,0,18,4
54,val,train/02617da0a33fe0446a508186417c2646.jpg,0,12,4
55,val,train/027c56d37095bcc595ddd429f96902ae.jpg,0,9,4
56,test,train/028fcc44d3104099480e897541a1ecc3.jpg,0,9,5
57,train,train/02957c14fee52ac6d0617e6d86275a25.jpg,0,5,2
58,train,train/02a4774868d677ef8ecff2168c0161c0.jpg,0,14,7
59,train,train/02acf0e7d0932f9c6a06fd4bbe1f5d90.jpg,0,7,3
60,train,train/02cbfa27d9e4b1d8c279932cd82e0730.jpg,1,0,0
61,test,train/02cd1d17763c869ff3d4af5e28539456.jpg,0,12,4
62,train,train/02d9d0c89022adc381c23e72add7c389.jpg,0,7,4
63,train,train/02de1ec3340e75fd5e7294a84a0342a1.jpg,0,6,2
64,train,train/02efc4e2e6e71e024fbfecb404a008a4.jpg,0,6,2
65,val,train/02fe3eea41166a1d3eb75307a12c4a63.jpg,0,9,3
66,train,train/032111ac5bb2e0cbb9a22745a77eef8f.jpg,1,0,0
67,test,train/0339aac16e3dd93ee397315a224147a6.jpg,0,3,1
68,train,train/033dae57cec0aca171d47090f299bed2.jpg,0,7,3
69,train,train/033e1637bed9b9f3dccac9c6c419adc2.jpg,0,9,4
70,train,train/03431b577d1ccf075e930c4c4913c079.jpg,0,5,2
71,train,train/034cf2b503a9a7efe404f000fb988534.jpg,0,19,8
72,train,train/035480fbf46e946e21e7dce78637c329.jpg,0,8,5
73,val,train/035b53e8aabf8763537a296c291135d1.jpg,0,3,2
74,train,train/036161ca6aa4daa43cc3bc55602e8960.jpg,1,0,0
75,train,train/036b9096b099f0f6c5611da078f73e43.jpg,0,5,2
76,train,train/03810755ae5721d65884360e3bccbf9b.jpg,0,6,2
77,train,train/038a7c88fcd819549f430c1fd907658c.jpg,0,5,2
78,val,train/038fc325ff4aa0a21c76d5dd7c740c89.jpg,0,15,6
79,train,train/0391d2388a2442f14d055d5089a747c6.jpg,0,5,2
80,train,train/039c6997248b3a6ba3c909af35fce0eb.jpg,0,5,3
81,train,train/03a6078c0c12fb076b50ae017e590e19.jpg,0,10,5
82,test,train/03cd593a310656563a5aa3886ff30380.jpg,0,9,4
83,train,train/03dd99aa091caee7b0ce8efdf7f274d5.jpg,0,6,2
84,test,train/03e6ecfa6f6fb33dfeac6ca4f9b459c9.jpg,0,57,2
85,train,train/03f0bf0a7403c050a7ce574f98fd8ab6.jpg,0,7,3
86,train,train/04031e57794b9e8861e3c65e935f11d2.jpg,0,3,1
87,train,train/041081d11262c5f150e655f5e5ff0a2c.jpg,0,3,1
88,test,train/041664dfb960a15686d7e9c4c7b4fd73.jpg,1,0,0
89,train,train/041762ff7fe435f22ea7541e77bfeafa.jpg,0,8,5
90,val,train/0424e80c4f0cae6ea9e65efeed75d5d0.jpg,1,0,0
91,train,train/044c53b3fd48fc029318fbcee70ae0d1.jpg,0,8,3
92,train,train/0452d38f45e4e79f91821e88bb812608.jpg,0,6,2
93,train,train/0453de2faeb8d349af739a68d9dee1cb.jpg,0,6,5
94,train,train/0464251a01ee7eeedd2a537dafc82844.jpg,0,3,1
95,val,train/046ad82db74a4155eaff3586b0d1e068.jpg,0,17,8
96,train,train/047182a6e86808669f896307dcd550c7.jpg,0,4,2
97,train,train/0491b08361fdfb9359cad9d6a078f275.jpg,0,5,2
98,train,train/04923676c5e29c25966fbd07fa12e2e8.jpg,0,6,3
99,train,train/04994993c9e416f32ce24c7e7501d3be.jpg,0,6,2
100,train,train/04aed38b30c4de9461c8a9940e99d811.jpg,0,8,4
101,train,train/04bb8bd7ee6f88a16623fe5c6dd4da91.jpg,0,9,3
102,train,train/04d1f1f8f52b15520f5895be87884fbd.jpg,0,5,2
103,train,train/04d3efc7a608c4d58edb8c1b7f90a708.jpg,0,8,5
104,val,train/04d462de5e02b54e3756875caebda95c.jpg,0,3,1
105,test,train/04e78baf5f049a01b6b4f9a14f0b7c78.jpg,1,0,0
106,train,train/04fbba5834f2abd713e66b3d0e6a678e.jpg,0,8,3
107,train,train/0501d62912b9a6ff04eae4ffc56affc2.jpg,0,9,3
108,test,train/0508d7ea85ba9be425657cc04c24a4f8.jpg,0,4,2
109,train,train/051132a778e61a86eb147c7c6f564dfe.jpg,0,7,3
110,train,train/05154c0bdf203a2bd583d95532d0297d.jpg,0,5,2
111,train,train/051c2436c0acdb5e09d085c7e4a764f3.jpg,0,8,3
112,train,train/051d112b55e4c9f9dfa53307cc2ffb62.jpg,0,8,4
113,train,train/052cf8f6cb59da96df7386adf8d5f6a0.jpg,0,3,2
114,train,train/053700069ddf3c4f1f6c477a48337836.jpg,0,6,1
115,val,train/053cf0f0a75926ebd53f0265bad6aee4.jpg,0,14,7
116,val,train/055ea315ae13148aae178aed27fa980d.jpg,0,3,2
117,train,train/05721adb43ab7c061733568b274c006b.jpg,0,9,3
118,train,train/059412ad34b2c48179f178e3138b5022.jpg,0,5,2
119,val,train/059ec0fc0d6840cff6e268e46f85faa0.jpg,0,17,5
120,train,train/05c0c802db4f100de8e2a9fa4aa62d14.jpg,0,10,5
121,train,train/05d45c0a96b2c363f8b9a34a1f181c58.jpg,0,5,3
122,train,train/05d676834dbed1639cb5eea70c1e307b.jpg,0,9,6
123,train,train/05dfd35f424da60897dfafc2340e0891.jpg,0,9,7
124,train,train/05e0b2465053b685ca37849eac3dd62f.jpg,0,21,6
125,train,train/05e64c5b1e5f246ae6e8bc109e557bf4.jpg,0,6,2
126,val,train/05f202ee95a17a4b1e6dbe1916ffe8bf.jpg,0,5,3
127,val,train/05f4911da872a51502a16e8807ee673f.jpg,0,5,2
128,val,train/06014542a807dabcf30867a2414b5e83.jpg,0,5,1
129,train,train/0608fb82e9965a0a6f3607f93e304d2a.jpg,0,9,4
130,test,train/061fa33f6ba0028fbbad8caaeac8d145.jpg,0,16,9
131,val,train/0622cd29e4e0e4f198abf15614819ae8.jpg,0,6,2
132,train,train/063319de25ce7edb9b1c6b8881290140.jpg,1,0,0
133,train,train/064023f1ff95962a1eee46b9f05f7309.jpg,0,19,5
134,val,train/0686521b0b8cf9426f253601b805fb52.jpg,0,4,2
135,val,train/0690821a2e255ce175bfa7f36e308f63.jpg,0,3,2
136,train,train/0697473448bb5e83ac926fe92271e7d8.jpg,0,6,3
137,test,train/06b04918044786c36584a86273d72747.jpg,0,5,4
138,val,train/06b2ff94bd0270f543deb7074c2a006a.jpg,0,6,3
139,train,train/06dfb2b996464c7b0e4c5177d433edbe.jpg,0,9,2
140,train,train/06e523e21ac668629092e85928b176a3.jpg,0,6,5
141,test,train/06efcd37617307118fd48b3a493c133b.jpg,0,3,2
142,train,train/06f3c1a8441d61da08aac07558ab5f05.jpg,0,8,4
143,train,train/070d087c1badb18ee110e19cbe158a40.jpg,0,8,4
144,train,train/070d372757bfbb0cee7d68fd50369fc4.jpg,0,6,2
145,train,train/0710fe2b90ee68e54b84e795abb018df.jpg,0,4,3
146,train,train/0712b4f7b21e2a06eacece3cf35e3059.jpg,0,8,2
147,test,train/071ff9c782ead87dfa9b1c025c25e769.jpg,0,8,6
148,test,train/074db6a4ab3aebd54fa0f628eb0e9b0e.jpg,0,8,4
149,test,train/0760a14308badcbd370c6866c9db3a0a.jpg,0,8,3
150,train,train/0777120fdd60f6a3cf8eaf3b8cf3585a.jpg,0,6,2
151,train,train/077c76dffde69c0b90c28d78ef2ac31e.jpg,0,6,4
152,train,train/0797fa5e2725c9b801e6d01cfa9a09da.jpg,0,6,2
153,train,train/07ab6d47d868962851d22d4d1249593d.jpg,0,4,2
154,test,train/07ac9545dcc585901865f7f958a7857d.jpg,0,7,3
155,train,train/07bedc010fd13a8e5903473ebcf39cd1.jpg,0,9,2
156,test,train/07c12d0f562f17579aabc18c11e2ad54.jpg,0,7,5
157,train,train/07d004fabfd7246f9ed4283dd5237deb.jpg,0,7,5
158,train,train/07d82e7e5749cbc21633134f489a7fbf.jpg,0,9,5
159,test,train/07db76e6cc063ce8bb90de18216e8ccf.jpg,0,3,1
160,train,train/07e5378ad3928091c08dded1f6b5353d.jpg,1,0,0
161,train,train/081d1700020b6bf0099f1e4d8aeec0f3.jpg,0,9,6
162,test,train/083a89dfc9a74a3f809035f886634ee2.jpg,0,9,4
163,train,train/0844f274f2a388e70231d3133754ac35.jpg,0,7,2
164,train,train/0853ab3a3dbadae1e6f28b933ddff809.jpg,0,11,3
165,train,train/08726b7ba2f04a33ff1b878b75498776.jpg,0,4,2
166,val,train/088006f2453c4183b1ef46fb607bc31c.jpg,0,4,2
167,train,train/088d83359d1a00ba24251220ace42edc.jpg,0,6,4
168,test,train/089a1c26766c10e2d8c4cdb86ed769dc.jpg,1,0,0
169,train,train/08ce56202e44175674fc5f5517e74db4.jpg,0,16,8
170,train,train/08e3d3783927a15d35137c756c1a7e0b.jpg,0,5,3
171,train,train/0905c0dc82fb8fe621c43f53719a55ca.jpg,0,6,2
172,test,train/0906a09b04f8d82c2cad5b820602a403.jpg,0,8,4
173,train,train/090b30ca55ab2a592cd3b24c9407a2bf.jpg,0,7,3
174,train,train/09175449df9374e0f6afe517f7b6249f.jpg,0,5,4
175,train,train/091ce012ed7cb036288d2abdb32504c2.jpg,0,16,6
176,train,train/09376dd7b6deaec0aaf1a2feb7833245.jpg,0,7,4
177,train,train/095c13d937c0dd9f547035344ba6c6c4.jpg,0,4,2
178,train,train/096688dacee6b1a1a5660ad15024a6f9.jpg,0,5,3
179,train,train/09790cae0f405ce0fe4b003dadfc18c7.jpg,0,5,2
180,train,train/097c63f9c6d46cfe5bd4937f277fbdbd.jpg,0,11,5
181,train,train/098d7923f09b8f6f163143ad97dacc12.jpg,0,5,2
182,test,train/09afc85ef67340016e0c8a1c70163769.jpg,0,3,1
183,val,train/09b85abab0d2b7f151815538100717b2.jpg,0,9,3
184,train,train/09b9674023305cb9a0acb367600efffa.jpg,0,8,5
185,train,train/09c9887c189f99704b452f193a40eaf7.jpg,0,4,2
186,train,train/09d6b99ffec66ae485de851924187bfe.jpg,0,8,4
187,val,train/09df460412ce705d0f634436f518f46d.jpg,0,7,4
188,val,train/09ebaedff630f8fa4d5d752f0beb34f2.jpg,1,0,0
189,train,train/09ee91a2120006e587d2e63c7bf0230f.jpg,0,5,2
190,val,train/09f0b00bd079304f72c079d369925aee.jpg,0,13,6
191,val,train/09f9a62fceffacc4d062a7fe24a626b8.jpg,0,26,6
192,train,train/09fca09845746d28dcda4981a8632bd7.jpg,0,3,1
193,train,train/0a072917005494298d153c01bbd8f689.jpg,0,10,7
194,test,train/0a0ac65c40a9ac441651e4bfbde03c4e.jpg,0,3,1
195,train,train/0a114862f10f4021fa7fd916b93aea94.jpg,0,4,2
196,train,train/0a14aeaf02d42990d8bb5d55270b7274.jpg,0,13,5
197,train,train/0a16dc6491142ff8c7c36f3b3f4ebd02.jpg,0,6,2
198,test,train/0a1aef5326b7b24378c6692f7a454e52.jpg,0,3,1
199,train,train/0a2d01ecb9e01cf972c1e1d31ccacb98.jpg,0,4,2
200,train,train/0a411e44ec67f3d5d80a5b3d5a3edca3.jpg,0,10,4
201,test,train/0a425edf1164ad0a73e8b092c4cc8b3b.jpg,0,22,6
202,test,train/0a475ad0b37bba0c638bbbe2ee5d355d.jpg,1,0,0
203,val,train/0a4fbc9ade84a7abd1680eb8ba031a9d.jpg,0,13,4
204,train,train/0a50d4ee79163edbf6f2d5c3082c2f51.jpg,0,6,2
205,train,train/0a61578e3d77b1cebc86d13a41efa31b.jpg,0,6,3
206,train,train/0a678538e529b9f1089c47bb2ffcda9b.jpg,0,6,2
207,train,train/0a695a94168b32705b91779586c6b2e7.jpg,1,0,0
208,train,train/0a9909b1cd924cd593151ba2d3d3dd55.jpg,0,6,3
209,train,train/0aa05f2d84af7e6e733730afa17eac2d.jpg,0,3,1
210,test,train/0aad4ac2ea24742e3f9de3d29fae6d95.jpg,0,8,3
211,train,train/0abd4fc2425edd5c2efb2c149e9319c6.jpg,0,15,5
212,train,train/0ac383fcdc6f1957b3ecceaf0acec909.jpg,0,13,4
213,val,train/0ad98c531de3616cc63a92d6cf871494.jpg,1,0,0
214,train,train/0b0e106a53f9dc3b28a9b15f94510b7a.jpg,0,27,8
215,train,train/0b1b897b1e1e170f1b5fd7aeff553afa.jpg,0,9,4
216,val,train/0b22826cc68b8d3177c5be2f4e1ae720.jpg,0,5,2
217,val,train/0b36cce0b170c34b8c11fd15b42324b2.jpg,1,0,0
218,train,train/0b3f09a003f9cbc1e8c54f230be2ba2d.jpg,0,4,2
219,train,train/0b4c3cb187f7582fa482b8f0fded6bd7.jpg,0,10,5
220,train,train/0b5213c456c26b48ca011b9865c4e6ce.jpg,0,9,5
221,train,train/0b6006be69ea1764f9bf80e5091b1e8e.jpg,0,6,3
222,train,train/0b62bc6644be72ce4dfa5ea77a77f311.jpg,0,9,3
223,train,train/0b630100496870b457008b0f7dae1ea5.jpg,0,4,2
224,train,train/0b7995c5e532803dc1bd077eaa4d2a01.jpg,0,7,3
225,train,train/0b98b21145a9425bf3eeea4b0de425e7.jpg,0,14,6
226,train,train/0bb76fb5f7cfb1dd4c3760f7481a1d05.jpg,0,3,1
227,train,train/0bdf902cc4ac4ad2c49059960f572ab2.jpg,0,3,2
228,train,train/0be2bdac4e84982ad1b24830d2cce470.jpg,0,6,3
229,train,train/0be45114544283beb4f6d371f946e889.jpg,0,8,5
230,train,train/0bed7f179df709d35aef763544ebfebf.jpg,0,6,1
231,train,train/0bee0cde729de2d82b39527c37f11934.jpg,0,8,4
232,test,train/0bef06d948ac1fe20ade505ba9960885.jpg,0,7,5
233,val,train/0bffe44ef7636e7b4a7b9fd883e8e6ea.jpg,0,4,2
234,train,train/0c0e47b7e0ebd10209a81d01e3c889a6.jpg,0,3,1
235,test,train/0c11bc2eb3de5bd737ae186aea0d0306.jpg,0,5,2
236,train,train/0c2079e62ddfb06a8a5300cefaa3a970.jpg,0,13,6
237,train,train/0c25b330d5b20498108b343c644f2a1c.jpg,0,6,2
238,train,train/0c31081e8ada2990bcbef0f12ea60b07.jpg,0,15,6
239,train,train/0c4a6bc602d1d207f217212c68a7131b.jpg,1,0,0
240,train,train/0c577dc6594dab44ebbd6964de673eaa.jpg,0,11,6
241,train,train/0c5ef740a9befbf439439f0b8e652a0c.jpg,0,3,1
242,train,train/0c5ff01c7bfb4362fcd98f36e555b08c.jpg,0,17,7
243,train,train/0c684171749ce2c0c601b9d69b882edb.jpg,0,7,3
244,train,train/0c6a7e3c733bd4f4d89443ca16615fc6.jpg,0,28,10
245,val,train/0c76c19b3f015e0387dd2adcbef86182.jpg,0,8,5
246,train,train/0c7a38f293d5f5e4846aa4ca6db4daf1.jpg,0,5,3
247,train,train/0c7d2e66dd63fca8b98c38146ba96f6c.jpg,0,4,2
248,train,train/0c8447ce02d73c505a90a9c7af8c83ce.jpg,0,9,3
249,train,train/0ca39409412cb8e473da701a1418e4dc.jpg,0,6,2
250,train,train/0ca7c951e2298b9aad37ae0deb4d2a92.jpg,0,7,3
251,test,train/0cb91b8fe14a6d51725371b1956750a0.jpg,0,6,4
252,train,train/0cd291c189895fbdcc14f4d36e1abc81.jpg,1,0,0
253,train,train/0ce7d050a48ce1462cabcd2310e9fb1e.jpg,0,3,1
254,val,train/0cf83a19a8281e4a281dece9854008ac.jpg,0,5,3
255,train,train/0cf8dd905fb4f2f876eb241bf67add40.jpg,1,0,0
256,val,train/0cfae3f740f87ca3b96dec765d06fad0.jpg,0,5,2
257,train,train/0d03df2e9ed557d0c9edcec777056c1f.jpg,0,28,5
258,train,train/0d0a7a1b8c1495d66ac9c427a36d9f6f.jpg,0,7,3
259,test,train/0d0e4dbe84356f8ec4a4ff7616b4850f.jpg,1,0,0
260,train,train/0d266f5353352d86d3c092da96dc67f5.jpg,0,6,3
261,train,train/0d26f6ebf87258f502f8fba529fe3079.jpg,0,4,2
262,train,train/0d30dc1e0070e7a934f39452e3ad3b83.jpg,0,17,5
263,train,train/0d3b1464574b7db3d664dc0aa0b66549.jpg,0,5,4
264,train,train/0d5597f8b17330d498fc5e13893e3081.jpg,0,10,3
265,train,train/0d6231a3ed3eefc3ba60353b9ad00816.jpg,0,11,7
266,test,train/0d94045f9e16f077bc6bbdea9f6c561b.jpg,0,4,2
267,train,train/0d96a4bffbd85c60c4eec095f4c6d34b.jpg,0,4,2
268,train,train/0da97c2c8c5192e678faf9290f25d5c0.jpg,0,6,2
269,train,train/0dbdb924a9140849abd4ff650c5356da.jpg,0,7,4
270,test,train/0dc30d30a14a6a68c9bec20ee32331c2.jpg,0,6,2
271,train,train/0dc7b1615100b4f5d3ae294bae0d5d43.jpg,0,3,2
272,train,train/0df187b5072103a0919c1a34be03e7ed.jpg,0,13,6
273,val,train/0e093fa90e5be5666cd396d722cc84ac.jpg,0,7,3
274,train,train/0e1cfc5b78d1a67bd41974ea2be8bc4c.jpg,0,5,2
275,train,train/0e21abbef40e569be72ab0ad90544f87.jpg,0,6,2
276,test,train/0e5734a5483002be04b734d7c88058be.jpg,0,4,2
277,train,train/0e6af94d17007c94d858b3bb7adb7dac.jpg,0,13,5
278,train,train/0e6da52d629393b3bcf24d8e99c1ea3f.jpg,0,10,4
279,train,train/0e8291c45a5ef61d2d9ecfcf3224899d.jpg,0,5,2
280,train,train/0e87195ff59d4294d61b8bffddb3c03c.jpg,0,4,3
281,train,train/0e88612bd294e249382b9e64d222cdf4.jpg,0,12,5
282,val,train/0e8b19dc3af06aaed4718cd664a896bf.jpg,0,4,2
283,val,train/0e8d3736396b615c0798033f37e4a481.jpg,0,17,8
284,train,train/0e91263f0b1925ff01d5ebde3ce65e1a.jpg,0,6,2
285,val,train/0ea0bf774e0436aec7d1a1e62074c9cd.jpg,0,6,2
286,train,train/0ea4221d568ab487af7c433a3df6307e.jpg,0,7,3
287,train,train/0eac4cf8618d5e582c336217d0291f25.jpg,0,9,4
288,train,train/0ec4947d689af2a94cc913b312368279.jpg,1,0,0
289,test,train/0ecc5a44cb8163dedbdf8d9049e92344.jpg,0,7,2
290,train,train/0ed4c066492aaa2e6f1772b84417e20f.jpg,0,10,2
291,train,train/0ee6114a53757f4531d42e8b19b4751c.jpg,0,6,2
292,train,train/0f186e3eba8d9ebd51feed957204ddbf.jpg,0,15,8
293,test,train/0f1eba57237922d0f9ec0dee62793435.jpg,0,6,2
294,train,train/0f26e889539ff64afd23927ee40436b8.jpg,0,3,1
295,train,train/0f27846dfa86e51c27db5fe4ea5a52ad.jpg,0,3,1
296,train,train/0f389422bffe0f96dc3da175550e0c5b.jpg,0,6,4
297,train,train/0f45742c4d100eeee221f8853d79c9d4.jpg,0,4,3
298,train,train/0f4fd2b86df83111f83444ee90edbea1.jpg,0,5,2
299,train,train/0f5f23a027345ba0f0a63f1eca460b0c.jpg,0,6,2
300,train,train/0f76d35a022a7188cad9a83e283fdc8f.jpg,0,4,2
301,train,train/0f81902a673f0d826b55ea9dc9da297b.jpg,0,3,1
302,train,train/0f8a78e1090c840b4455772fe92d7586.jpg,1,0,0
303,test,train/0fafbbfb67745f8c29351f9f7263b82f.jpg,0,9,5
304,val,train/0fb6d9a425117670ba7c249b35523434.jpg,1,0,0
305,train,train/0fca086ebe001f784d428aa9973ba691.jpg,0,9,4
306,train,train/0fd981034f74251d4a5d72891940d585.jpg,0,7,3
307,test,train/0ffa24230f7064bcdb313507dce02ae3.jpg,0,7,4
308,train,train/101d984c4172312c93efdd42e37e203b.jpg,1,0,0
309,train,train/101f2420808891cab10b4b2f0c1d2875.jpg,1,0,0
310,train,train/103fb193578933a2d53ae31ff0fc3319.jpg,0,4,2
311,val,train/104b915269077619e2b3bbf641506327.jpg,0,7,4
312,train,train/105c3102661ee24684dc180a32dc7119.jpg,0,5,1
313,train,train/1060e455b64eea9e29ca4a3e05b47557.jpg,0,4,2
314,train,train/1066a058b5bae597f2dbb33780c2577d.jpg,0,19,5
315,train,train/106a3da41d2e3d9f508c09b28e8abdaf.jpg,0,3,3
316,train,train/1070b419b62a9b7b1a8e71cd9504ffb8.jpg,0,5,4
317,test,train/1071b3b85121012c5061894bf3b8704b.jpg,0,6,2
318,val,train/107d7671377160a4a5d708849ed5d331.jpg,1,0,0
319,train,train/1085585ceaf60941fd14db7ad3bb2f49.jpg,0,6,2
320,test,train/10ab7eaa1ef08dea7a899cc893564838.jpg,0,5,2
321,train,train/10e7dac260f11046164aa94f2d8add9f.jpg,0,5,3
322,train,train/10e8248185760938d4cae1f0462af88a.jpg,0,8,4
323,train,train/10f28558b1667b3d30d9e4c44f7a5bc6.jpg,0,6,3
324,train,train/110cd42557499b2bcfe84732b281172c.jpg,0,6,3
325,train,train/1125f1da5766f0392d45630133c7bed6.jpg,0,6,4
326,train,train/112cf0367dd8b6aa14b4e384439d9eb7.jpg,0,8,3
327,test,train/112db7d495906f3358852756a87a4bbf.jpg,1,0,0
328,train,train/113274a4ca3c2e72b7ff1bd3ce5006b6.jpg,0,7,3
329,train,train/1133414000e82176ab7852aeacc762eb.jpg,0,5,3
330,val,train/1138649f25528f0ab76c93ac60279ca3.jpg,0,5,2
331,train,train/1146548e94da58c6989a1a6408dfc886.jpg,0,4,2
332,test,train/1148a27d6ea1ec7669de022fe2480890.jpg,0,7,4
333,train,train/11570cdc6847610ab7ff58a076dad709.jpg,0,3,1
334,train,train/116c19c289e285a60ab20cf72090c9fa.jpg,0,8,3
335,train,train/11750f2005f2f50d592c5c5cc145fdfe.jpg,0,6,3
336,train,train/117c218c2534e3d40a6ca0b3d724eb24.jpg,0,7,3
337,train,train/119bc2dba30b0ba7995e189504126ed1.jpg,0,5,3
338,val,train/11b3a0fe7f25bbe7643c60bcb14c35f5.jpg,0,22,3
339,val,train/11b47878746ba8728eda0f9eed048639.jpg,1,0,0
340,train,train/11cfa1a5b04bd1eaa319d08cdb308bb9.jpg,1,0,0
341,train,train/11d5cd186965cfe8e615157e492e34bb.jpg,0,4,1
342,test,train/11dbd33fc77075c94a202362ed8e197e.jpg,0,13,8
343,train,train/11e41fba7056177c8654b7b7408a4ed3.jpg,0,4,2
344,train,train/1224f07d895107573588225f692e94f9.jpg,0,3,1
345,train,train/12268c1ea761140eafee75acabc44fb0.jpg,0,6,2
346,train,train/12399d5b08e5342ade37a56b9c9e5ac5.jpg,0,5,2
347,val,train/1245f853816564c0ee3f1b9e93521ff0.jpg,0,13,6
348,train,train/124ec853c372fcf7f4428b26b32be62f.jpg,0,3,1
349,train,train/1250c704cc9307bf84b43f1aca4d997b.jpg,0,4,2
350,train,train/1254518b2893f58324e93f375cffbd6c.jpg,0,10,5
351,train,train/1259ee6feb64a552e3521ddcb395888c.jpg,0,10,2
352,train,train/126ae7336c7776a82bf3c15c0c6751c0.jpg,0,7,3
353,test,train/12735a3e6ae44fe59babe2a618dbc450.jpg,1,0,0
354,train,train/127f66766091998a72268caf4ec34bef.jpg,0,14,4
355,train,train/1280dc55c1ff852024be232c2942e3fd.jpg,0,10,4
356,train,train/1283d5ba97663aef3b97ee4f1884e9f9.jpg,0,5,3
357,train,train/128f55a981d4192a2990946431a7469b.jpg,0,12,3
358,train,train/1296335140a042ff0270825cdae2fa09.jpg,0,18,6
359,train,train/129a1e7753432edd052a2cdbfbaee00e.jpg,0,11,6
360,val,train/12bd4c85000b33c532fb9d57b5f2a08e.jpg,0,6,4
361,train,train/12ccbda1f9c224e5d5496cd7fe3d26d7.jpg,0,6,3
362,train,train/12d8de45e35e8b8c896109bfb46f8a82.jpg,0,6,2
363,val,train/12e0e910766f2d1b1ccda7c32051643f.jpg,0,6,4
364,train,train/12eb6f4552609edfddfc69189e7c891e.jpg,0,6,2
365,train,train/12ede510c82b53705e33fa758ff03131.jpg,0,11,7
366,train,train/1302aab3d9d19f6bcb9db728e3ce6306.jpg,0,6,3
