stratum_type,stratum_name,stratum_value,scope_image_count,selected_image_count,covered,selected_image_ids
stratum,PresentationLUTShape,ABSENT,4894,64,True,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
stratum,SOPClassUID,ABSENT,4894,64,True,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
stratum,SamplesPerPixel,1,4894,64,True,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
stratum,TransferSyntaxUID,1.2.840.10008.1.2,2042,28,True,18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;1d8f4d5daf11f2b01695b71a862aa813;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;6d80520d7518642b92a089b028407104;781337185d4b99902d0ebfd2867feab8;7978725e43f1b301551e0fdbc32faef5;7b87ff45f630da27a103b7e587bc6fd1;7c42de6dd248ce53880debab2567b521;8b09d4ec88d8372bded8547543dbbf24;8d6a0dcadf3c7322e146e729f4ac4ebf;9378e938afe891b372d0d7a1924c7aa5
stratum,TransferSyntaxUID,1.2.840.10008.1.2.1,734,9,True,15acee7728e6530dfa2bd01521c7148d;191af4a0c5c47c05b06b88f7d6ec671d;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;7ac7db2d39f2342de386188e72cd0a72;90294c2e98cf161d97c32633e5a67ab1;aea448a9f33bf9919de6c74e0aa488e7;b770403a1d0ab861f1944f8b896afcae;c2c54eed2dd73e20ef0e5af5a4aa1feb
stratum,TransferSyntaxUID,1.2.840.10008.1.2.4.90,2118,27,True,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;18ee5156937f823acee35e15110c6521;21cc15968368582b548bdc50f24d1ce5;324c908cb345ed14be7a468a56f1ceba;513203e29fe43941076e37a945e58c36;61e0b38cea96d57adb044ac496e556ff;63236a382e8f97864ea5af5d1c7a5d5a;862f0aaa5644a8a01e86ff585005a259;93cb971f3c5504f1362de4367f9199d1;9c9f556eea533f066368e0f4a452bee7;b0bef1b57611726c4b0c636264fe5061;b1f71b5ef16dce633e4033237b761cdf;b3f4af84fa71fe204eb105ce430deef3;b8322e1a06179954c5b5f5ed05083c05;ba683c0053ad11332810ecc509b6c17b;c26185210303f6c638a4ac60e635df21;cb8fd53c4498aa62dd48c184beb050bd;d2e80d6cae14b72a824f1ac625d23472
stratum,VOILUTFunction,ABSENT,4894,64,True,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
class,class,0,3067,31,True,0d30dc1e0070e7a934f39452e3ad3b83;15acee7728e6530dfa2bd01521c7148d;18e91ea53a6b6829c70ae2d762605c21;191af4a0c5c47c05b06b88f7d6ec671d;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;6d80520d7518642b92a089b028407104;7978725e43f1b301551e0fdbc32faef5;7ac7db2d39f2342de386188e72cd0a72;7b87ff45f630da27a103b7e587bc6fd1;862f0aaa5644a8a01e86ff585005a259;8b09d4ec88d8372bded8547543dbbf24;9378e938afe891b372d0d7a1924c7aa5;93cb971f3c5504f1362de4367f9199d1;9c9f556eea533f066368e0f4a452bee7;afb6230703512afc370f236e8fe98806
class,class,1,186,3,True,15acee7728e6530dfa2bd01521c7148d;b0bef1b57611726c4b0c636264fe5061;dcb081bb5e1dac41000e96fc37c8c322
class,class,10,1032,11,True,15acee7728e6530dfa2bd01521c7148d;21cc15968368582b548bdc50f24d1ce5;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;8d6a0dcadf3c7322e146e729f4ac4ebf;90294c2e98cf161d97c32633e5a67ab1;a330d6606525415c5e462b9e13ca8452;aea448a9f33bf9919de6c74e0aa488e7;c26185210303f6c638a4ac60e635df21;dcb081bb5e1dac41000e96fc37c8c322
class,class,11,1981,17,True,2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;63236a382e8f97864ea5af5d1c7a5d5a;7b87ff45f630da27a103b7e587bc6fd1;8b09d4ec88d8372bded8547543dbbf24;8d6a0dcadf3c7322e146e729f4ac4ebf;90294c2e98cf161d97c32633e5a67ab1;9c9f556eea533f066368e0f4a452bee7;a330d6606525415c5e462b9e13ca8452;c26185210303f6c638a4ac60e635df21;c2c54eed2dd73e20ef0e5af5a4aa1feb
class,class,12,96,2,True,0d30dc1e0070e7a934f39452e3ad3b83;dcb081bb5e1dac41000e96fc37c8c322
class,class,13,1617,18,True,2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;45fad4fe08460cf9aec10986ba13c582;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;63236a382e8f97864ea5af5d1c7a5d5a;7978725e43f1b301551e0fdbc32faef5;8d6a0dcadf3c7322e146e729f4ac4ebf;9c9f556eea533f066368e0f4a452bee7;afb6230703512afc370f236e8fe98806;bd24133a5c72fdd62ad820445627b718;c2c54eed2dd73e20ef0e5af5a4aa1feb;cdfac35a0800774db5fe8a6354df64ef;d2e80d6cae14b72a824f1ac625d23472;dcb081bb5e1dac41000e96fc37c8c322;e2de831b92a2dc7237d2b1885ee4bb9c
class,class,2,452,6,True,3a59363995006fd88ee83584b1e3f6e7;498ac0c4815a890629cf509446a47238;6d80520d7518642b92a089b028407104;9c9f556eea533f066368e0f4a452bee7;b0bef1b57611726c4b0c636264fe5061;bd24133a5c72fdd62ad820445627b718
class,class,3,2300,25,True,0d30dc1e0070e7a934f39452e3ad3b83;15acee7728e6530dfa2bd01521c7148d;18e91ea53a6b6829c70ae2d762605c21;1d8f4d5daf11f2b01695b71a862aa813;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;5156d69e540648eb952371ec5c80bc81;6d80520d7518642b92a089b028407104;7ac7db2d39f2342de386188e72cd0a72;7b87ff45f630da27a103b7e587bc6fd1;862f0aaa5644a8a01e86ff585005a259;8b09d4ec88d8372bded8547543dbbf24;9378e938afe891b372d0d7a1924c7aa5;9c9f556eea533f066368e0f4a452bee7;b0bef1b57611726c4b0c636264fe5061;b770403a1d0ab861f1944f8b896afcae;bd24133a5c72fdd62ad820445627b718;c26185210303f6c638a4ac60e635df21
class,class,4,353,2,True,dcb081bb5e1dac41000e96fc37c8c322;de15c0fca6c7441dd089122ad074a7f3
class,class,5,386,6,True,4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;9c9f556eea533f066368e0f4a452bee7;afb6230703512afc370f236e8fe98806;b0bef1b57611726c4b0c636264fe5061
class,class,6,613,7,True,45fad4fe08460cf9aec10986ba13c582;4b001bab36d94f73c1ead3ab74690dbc;5e7edf8a5f636b67a2a854b284360cfa;aea448a9f33bf9919de6c74e0aa488e7;afb6230703512afc370f236e8fe98806;cdfac35a0800774db5fe8a6354df64ef;e2de831b92a2dc7237d2b1885ee4bb9c
class,class,7,1322,14,True,45fad4fe08460cf9aec10986ba13c582;5156d69e540648eb952371ec5c80bc81;7978725e43f1b301551e0fdbc32faef5;90294c2e98cf161d97c32633e5a67ab1;9378e938afe891b372d0d7a1924c7aa5;93cb971f3c5504f1362de4367f9199d1;a330d6606525415c5e462b9e13ca8452;aea448a9f33bf9919de6c74e0aa488e7;afb6230703512afc370f236e8fe98806;c9e29220b5d0f9cfdb250f0872648a89;cdfac35a0800774db5fe8a6354df64ef;dcb081bb5e1dac41000e96fc37c8c322;de15c0fca6c7441dd089122ad074a7f3;f42000d2ffb02c74c696fba7678c51a6
class,class,8,826,12,True,0d30dc1e0070e7a934f39452e3ad3b83;1d8f4d5daf11f2b01695b71a862aa813;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;513203e29fe43941076e37a945e58c36;8d6a0dcadf3c7322e146e729f4ac4ebf;9378e938afe891b372d0d7a1924c7aa5;9c9f556eea533f066368e0f4a452bee7;b0bef1b57611726c4b0c636264fe5061;b770403a1d0ab861f1944f8b896afcae;de15c0fca6c7441dd089122ad074a7f3;f42000d2ffb02c74c696fba7678c51a6
class,class,9,1134,13,True,0d30dc1e0070e7a934f39452e3ad3b83;15acee7728e6530dfa2bd01521c7148d;21cc15968368582b548bdc50f24d1ce5;5156d69e540648eb952371ec5c80bc81;7b87ff45f630da27a103b7e587bc6fd1;afb6230703512afc370f236e8fe98806;b770403a1d0ab861f1944f8b896afcae;bd24133a5c72fdd62ad820445627b718;cb8fd53c4498aa62dd48c184beb050bd;cdfac35a0800774db5fe8a6354df64ef;d2e80d6cae14b72a824f1ac625d23472;dcb081bb5e1dac41000e96fc37c8c322;f42000d2ffb02c74c696fba7678c51a6
extremum,extremum,bbox_abs_max,1,1,True,0d30dc1e0070e7a934f39452e3ad3b83
extremum,extremum,bbox_abs_min,1,1,True,4b001bab36d94f73c1ead3ab74690dbc
extremum,extremum,bbox_rel_max,1,1,True,0d30dc1e0070e7a934f39452e3ad3b83
extremum,extremum,bbox_rel_min,1,1,True,498ac0c4815a890629cf509446a47238
extremum,extremum,dim_max_h,1,1,True,b770403a1d0ab861f1944f8b896afcae
extremum,extremum,dim_max_w,1,1,True,3fd3aa2d64f365c666ce7de3d5352226
extremum,extremum,dim_min_h,1,1,True,b3f4af84fa71fe204eb105ce430deef3
extremum,extremum,dim_min_w,1,1,True,b3f4af84fa71fe204eb105ce430deef3
extremum,extremum,px_max,1,1,True,191af4a0c5c47c05b06b88f7d6ec671d
extremum,extremum,px_min,1,1,True,b3f4af84fa71fe204eb105ce430deef3
stratum,modality_lut,absent,4894,64,True,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
stratum,padding,absent,4894,64,True,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
stratum,rescale,absent,1336,18,True,0d30dc1e0070e7a934f39452e3ad3b83;2fa7906cc0d122c8ef0a654409b5e1d2;45fad4fe08460cf9aec10986ba13c582;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;513203e29fe43941076e37a945e58c36;5e7edf8a5f636b67a2a854b284360cfa;7978725e43f1b301551e0fdbc32faef5;7b87ff45f630da27a103b7e587bc6fd1;8d6a0dcadf3c7322e146e729f4ac4ebf;9378e938afe891b372d0d7a1924c7aa5;93cb971f3c5504f1362de4367f9199d1;afb6230703512afc370f236e8fe98806;b3f4af84fa71fe204eb105ce430deef3;bd24133a5c72fdd62ad820445627b718;cdfac35a0800774db5fe8a6354df64ef;dcb081bb5e1dac41000e96fc37c8c322;e2de831b92a2dc7237d2b1885ee4bb9c
stratum,rescale,identity,3558,46,True,0d0e4dbe84356f8ec4a4ff7616b4850f;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;472b196c9371aa9d6e9d23ccf82936c2;5156d69e540648eb952371ec5c80bc81;61e0b38cea96d57adb044ac496e556ff;63236a382e8f97864ea5af5d1c7a5d5a;6d80520d7518642b92a089b028407104;781337185d4b99902d0ebfd2867feab8
