image_id,photometric_interpretation,presentation_lut_shape,modality_branch,voi_branch,reference_png_relative_path,review_status
1d8f4d5daf11f2b01695b71a862aa813,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/1d8f4d5daf11f2b01695b71a862aa813.png,PENDING_EXPERT_REVIEW
e2de831b92a2dc7237d2b1885ee4bb9c,MONOCHROME1,ABSENT,identity,theoretical_fallback,images_jpg_pilot/reference_uint8/train/e2de831b92a2dc7237d2b1885ee4bb9c.png,PENDING_EXPERT_REVIEW
45fad4fe08460cf9aec10986ba13c582,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/45fad4fe08460cf9aec10986ba13c582.png,PENDING_EXPERT_REVIEW
bd24133a5c72fdd62ad820445627b718,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/bd24133a5c72fdd62ad820445627b718.png,PENDING_EXPERT_REVIEW
c9e29220b5d0f9cfdb250f0872648a89,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/c9e29220b5d0f9cfdb250f0872648a89.png,PENDING_EXPERT_REVIEW
e99ba43b91cf30a1df2c4c4adfe7c3b1,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/e99ba43b91cf30a1df2c4c4adfe7c3b1.png,PENDING_EXPERT_REVIEW
7978725e43f1b301551e0fdbc32faef5,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/7978725e43f1b301551e0fdbc32faef5.png,PENDING_EXPERT_REVIEW
90294c2e98cf161d97c32633e5a67ab1,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/90294c2e98cf161d97c32633e5a67ab1.png,PENDING_EXPERT_REVIEW
862f0aaa5644a8a01e86ff585005a259,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/862f0aaa5644a8a01e86ff585005a259.png,PENDING_EXPERT_REVIEW
d2e80d6cae14b72a824f1ac625d23472,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/d2e80d6cae14b72a824f1ac625d23472.png,PENDING_EXPERT_REVIEW
8b09d4ec88d8372bded8547543dbbf24,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/8b09d4ec88d8372bded8547543dbbf24.png,PENDING_EXPERT_REVIEW
b0bef1b57611726c4b0c636264fe5061,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/b0bef1b57611726c4b0c636264fe5061.png,PENDING_EXPERT_REVIEW
5156d69e540648eb952371ec5c80bc81,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/5156d69e540648eb952371ec5c80bc81.png,PENDING_EXPERT_REVIEW
2fa7906cc0d122c8ef0a654409b5e1d2,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/2fa7906cc0d122c8ef0a654409b5e1d2.png,PENDING_EXPERT_REVIEW
8d6a0dcadf3c7322e146e729f4ac4ebf,MONOCHROME1,ABSENT,identity,theoretical_fallback,images_jpg_pilot/reference_uint8/train/8d6a0dcadf3c7322e146e729f4ac4ebf.png,PENDING_EXPERT_REVIEW
9c9f556eea533f066368e0f4a452bee7,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/9c9f556eea533f066368e0f4a452bee7.png,PENDING_EXPERT_REVIEW
cdfac35a0800774db5fe8a6354df64ef,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/cdfac35a0800774db5fe8a6354df64ef.png,PENDING_EXPERT_REVIEW
fd80612e19d0c248b8477125cba4a350,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/fd80612e19d0c248b8477125cba4a350.png,PENDING_EXPERT_REVIEW
18e91ea53a6b6829c70ae2d762605c21,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/18e91ea53a6b6829c70ae2d762605c21.png,PENDING_EXPERT_REVIEW
15acee7728e6530dfa2bd01521c7148d,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/15acee7728e6530dfa2bd01521c7148d.png,PENDING_EXPERT_REVIEW
f42000d2ffb02c74c696fba7678c51a6,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/f42000d2ffb02c74c696fba7678c51a6.png,PENDING_EXPERT_REVIEW
3a59363995006fd88ee83584b1e3f6e7,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/3a59363995006fd88ee83584b1e3f6e7.png,PENDING_EXPERT_REVIEW
de15c0fca6c7441dd089122ad074a7f3,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/de15c0fca6c7441dd089122ad074a7f3.png,PENDING_EXPERT_REVIEW
472b196c9371aa9d6e9d23ccf82936c2,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/472b196c9371aa9d6e9d23ccf82936c2.png,PENDING_EXPERT_REVIEW
63236a382e8f97864ea5af5d1c7a5d5a,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/63236a382e8f97864ea5af5d1c7a5d5a.png,PENDING_EXPERT_REVIEW
c26185210303f6c638a4ac60e635df21,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/c26185210303f6c638a4ac60e635df21.png,PENDING_EXPERT_REVIEW
aea448a9f33bf9919de6c74e0aa488e7,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/aea448a9f33bf9919de6c74e0aa488e7.png,PENDING_EXPERT_REVIEW
5e7edf8a5f636b67a2a854b284360cfa,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/5e7edf8a5f636b67a2a854b284360cfa.png,PENDING_EXPERT_REVIEW
afb6230703512afc370f236e8fe98806,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/afb6230703512afc370f236e8fe98806.png,PENDING_EXPERT_REVIEW
a330d6606525415c5e462b9e13ca8452,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/a330d6606525415c5e462b9e13ca8452.png,PENDING_EXPERT_REVIEW
93cb971f3c5504f1362de4367f9199d1,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/93cb971f3c5504f1362de4367f9199d1.png,PENDING_EXPERT_REVIEW
21cc15968368582b548bdc50f24d1ce5,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/21cc15968368582b548bdc50f24d1ce5.png,PENDING_EXPERT_REVIEW
ba683c0053ad11332810ecc509b6c17b,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/ba683c0053ad11332810ecc509b6c17b.png,PENDING_EXPERT_REVIEW
513203e29fe43941076e37a945e58c36,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/513203e29fe43941076e37a945e58c36.png,PENDING_EXPERT_REVIEW
6d80520d7518642b92a089b028407104,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/6d80520d7518642b92a089b028407104.png,PENDING_EXPERT_REVIEW
7ac7db2d39f2342de386188e72cd0a72,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/7ac7db2d39f2342de386188e72cd0a72.png,PENDING_EXPERT_REVIEW
7b87ff45f630da27a103b7e587bc6fd1,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/7b87ff45f630da27a103b7e587bc6fd1.png,PENDING_EXPERT_REVIEW
