SOPClassUID,Modality,Rows,Columns,PhotometricInterpretation,TransferSyntaxUID,BitsAllocated,BitsStored,HighBit,PixelRepresentation,SamplesPerPixel,NumberOfFrames_raw,NumberOfFrames_effective,RescaleSlope,RescaleIntercept,rescale_slope_present,rescale_intercept_present,modality_lut_present,modality_lut_count,voi_lut_present,voi_lut_count,WindowCenter_all,WindowWidth_all,window_center_count,window_width_count,window_is_multivalued,VOILUTFunction,PresentationLUTShape,presentation_lut_sequence_present,presentation_lut_sequence_count,PixelPaddingValue,PixelPaddingRangeLimit,pixel_padding_value_present,pixel_padding_range_present,image_id,coco_image_id,canonical_image_id,dicom_relative_path
ABSENT,ABSENT,3147,2505,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2623,2960,1,1,False,ABSENT,ABSENT,False,0,,,False,False,008b3176a7248a0a189b5731ac8d2e95,11,10,train/008b3176a7248a0a189b5731ac8d2e95.dicom
ABSENT,ABSENT,2890,2762,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,009d4c31ebf87e51c5c8c160a4bd8006,12,11,train/009d4c31ebf87e51c5c8c160a4bd8006.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,009d837e29ba400e03856cf8d6a5b545,13,12,train/009d837e29ba400e03856cf8d6a5b545.dicom
ABSENT,ABSENT,2992,2431,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,00a9f697d85a506d5b281f588addce4e,14,13,train/00a9f697d85a506d5b281f588addce4e.dicom
ABSENT,ABSENT,3077,2995,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2720,4030,1,1,False,ABSENT,ABSENT,False,0,,,False,False,00aca42a24e4ea6066cca2546150c36e,15,14,train/00aca42a24e4ea6066cca2546150c36e.dicom
ABSENT,ABSENT,2500,2048,MONOCHROME2,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,00bcb82818ea83d6a86df241762cd7d0,16,15,train/00bcb82818ea83d6a86df241762cd7d0.dicom
ABSENT,ABSENT,2836,2336,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,00e25f831ccd21bd41b558cfccbf1be7,17,16,train/00e25f831ccd21bd41b558cfccbf1be7.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,00f2f97f74e086e1f82acc285ee4a5c5,18,17,train/00f2f97f74e086e1f82acc285ee4a5c5.dicom
ABSENT,ABSENT,3069,2813,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2243,4020,1,1,False,ABSENT,ABSENT,False,0,,,False,False,010018c93ed33ae56ed048ee54867e46,19,18,train/010018c93ed33ae56ed048ee54867e46.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0108949daa13dc94634a7d650a05c0bb,20,19,train/0108949daa13dc94634a7d650a05c0bb.dicom
ABSENT,ABSENT,3072,2540,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,10275,13576,1,1,False,ABSENT,ABSENT,False,0,,,False,False,010a3dbb67bc37800a041866844861b1,21,20,train/010a3dbb67bc37800a041866844861b1.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,10229,9410,1,1,False,ABSENT,ABSENT,False,0,,,False,False,011244ab511b20130d846f5f8f0c3866,22,21,train/011244ab511b20130d846f5f8f0c3866.dicom
ABSENT,ABSENT,3072,2540,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,8129,10380,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0114c5cd093c742334d5a5fa14140421,23,22,train/0114c5cd093c742334d5a5fa14140421.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,7035,8648,1,1,False,ABSENT,ABSENT,False,0,,,False,False,011ae9520e81f1efe71c9d954ec07d09,24,23,train/011ae9520e81f1efe71c9d954ec07d09.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,9240,11218,1,1,False,ABSENT,ABSENT,False,0,,,False,False,013893a5fa90241c65c3efcdbdd2cec1,25,24,train/013893a5fa90241c65c3efcdbdd2cec1.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,014e3dd712dc90f61da7ce8747d8c4c0,26,25,train/014e3dd712dc90f61da7ce8747d8c4c0.dicom
ABSENT,ABSENT,3171,2733,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,1748,4020,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01546d3e6175ceaabd7d92f0c566579d,27,26,train/01546d3e6175ceaabd7d92f0c566579d.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01570ee44031e4ebab6031501293bf66,28,27,train/01570ee44031e4ebab6031501293bf66.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,1,0,True,True,False,0,False,0,3845,3764,1,1,False,ABSENT,ABSENT,False,0,,,False,False,015d74d7d2667a9b93b8909283af38c8,29,28,train/015d74d7d2667a9b93b8909283af38c8.dicom
ABSENT,ABSENT,2088,2008,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,,,False,False,False,0,False,0,,,0,0,False,ABSENT,ABSENT,False,0,,,False,False,015e332b702e4829710941ab7265bd1d,30,29,train/015e332b702e4829710941ab7265bd1d.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,7059,8848,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0162dad8330007f8f0daf43bcf4033f1,31,30,train/0162dad8330007f8f0daf43bcf4033f1.dicom
ABSENT,ABSENT,2972,2718,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2008,2970,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0187da5fd71c7a2917346bf12a67bbe4,32,31,train/0187da5fd71c7a2917346bf12a67bbe4.dicom
ABSENT,ABSENT,2430,1994,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01892129d76aaa1f59d4b22df8a14c0b,33,32,train/01892129d76aaa1f59d4b22df8a14c0b.dicom
ABSENT,ABSENT,2944,2512,MONOCHROME2,1.2.840.10008.1.2.4.90,16,14,13,0,1,,1,1.000,0.000,True,True,False,0,False,0,9056,8836,1,1,False,ABSENT,ABSENT,False,0,,,False,False,018a2fe44c3451281ec338c27ecc9c53,34,33,train/018a2fe44c3451281ec338c27ecc9c53.dicom
ABSENT,ABSENT,3008,2536,MONOCHROME2,1.2.840.10008.1.2.4.90,16,16,15,0,1,1,1,,,False,False,False,0,False,0,32767,65535,1,1,False,ABSENT,ABSENT,False,0,,,False,False,018b348fd699821cdbc5bdc0b329982c,35,34,train/018b348fd699821cdbc5bdc0b329982c.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,018ef9c5d5b20c5161a5c48703171c3b,36,35,train/018ef9c5d5b20c5161a5c48703171c3b.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,9424,9976,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01a3c3d994d85ce5634d2d13c03fd4b0,37,36,train/01a3c3d994d85ce5634d2d13c03fd4b0.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01afcfaabc406f0fe1797cb7fa6616c6,38,37,train/01afcfaabc406f0fe1797cb7fa6616c6.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01b0510a8d3b0860429536653db5eb21,39,38,train/01b0510a8d3b0860429536653db5eb21.dicom
ABSENT,ABSENT,2329,2599,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01c2b9fcb0384c84648ed76c736552a8,40,39,train/01c2b9fcb0384c84648ed76c736552a8.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01cbbeab94b4d2bfd5cd8a467fee46a7,41,40,train/01cbbeab94b4d2bfd5cd8a467fee46a7.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,10381,9786,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01d6446afde9fbf4332904bc331e9660,42,41,train/01d6446afde9fbf4332904bc331e9660.dicom
ABSENT,ABSENT,2136,1920,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,,,False,False,False,0,False,0,,,0,0,False,ABSENT,ABSENT,False,0,,,False,False,01ee6e560f083255a630c41bba779405,43,42,train/01ee6e560f083255a630c41bba779405.dicom
ABSENT,ABSENT,2500,2048,MONOCHROME2,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01f88c998eea22d21ee144bc3edfd261,44,43,train/01f88c998eea22d21ee144bc3edfd261.dicom
ABSENT,ABSENT,2680,2588,MONOCHROME2,1.2.840.10008.1.2.4.90,16,14,13,0,1,,1,1.000,0.000,True,True,False,0,False,0,8165,6842,1,1,False,ABSENT,ABSENT,False,0,,,False,False,01fec681f2d698497151a88d6c5205a1,45,44,train/01fec681f2d698497151a88d6c5205a1.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,7990,7516,1,1,False,ABSENT,ABSENT,False,0,,,False,False,020717d6ab0b440b37978d9bace9f9b2,46,45,train/020717d6ab0b440b37978d9bace9f9b2.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0211f9fe31142ba1e25fb6a2ea3fea38,47,46,train/0211f9fe31142ba1e25fb6a2ea3fea38.dicom
ABSENT,ABSENT,2500,2048,MONOCHROME2,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,021ed4f8af985c0fc68335abb2cf2ed7,48,47,train/021ed4f8af985c0fc68335abb2cf2ed7.dicom
ABSENT,ABSENT,3222,2619,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02222df826791117f315ecb2b58c5b69,49,48,train/02222df826791117f315ecb2b58c5b69.dicom
ABSENT,ABSENT,2755,2384,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,023a8b8557d1fd59f272c63be6f3d4c0,50,49,train/023a8b8557d1fd59f272c63be6f3d4c0.dicom
ABSENT,ABSENT,2780,2783,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,024f9140bd829c346fc91fcf4009d251,51,50,train/024f9140bd829c346fc91fcf4009d251.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,025534801b62d61f1c1c9e571ea74695,52,51,train/025534801b62d61f1c1c9e571ea74695.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02562eb68a9c682f5f644fa7a099733f,53,52,train/02562eb68a9c682f5f644fa7a099733f.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02617da0a33fe0446a508186417c2646,54,53,train/02617da0a33fe0446a508186417c2646.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,8393,9898,1,1,False,ABSENT,ABSENT,False,0,,,False,False,027c56d37095bcc595ddd429f96902ae,55,54,train/027c56d37095bcc595ddd429f96902ae.dicom
ABSENT,ABSENT,3302,2721,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,028fcc44d3104099480e897541a1ecc3,56,55,train/028fcc44d3104099480e897541a1ecc3.dicom
ABSENT,ABSENT,3264,2760,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,,1,1.000,0.000,True,True,False,0,False,0,8191,7600,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02957c14fee52ac6d0617e6d86275a25,57,56,train/02957c14fee52ac6d0617e6d86275a25.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,8413,11436,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02a4774868d677ef8ecff2168c0161c0,58,57,train/02a4774868d677ef8ecff2168c0161c0.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,9140,11818,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02acf0e7d0932f9c6a06fd4bbe1f5d90,59,58,train/02acf0e7d0932f9c6a06fd4bbe1f5d90.dicom
ABSENT,ABSENT,2623,2303,MONOCHROME2,1.2.840.10008.1.2.4.90,16,16,15,0,1,1,1,,,False,False,False,0,False,0,39367,65535,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02cbfa27d9e4b1d8c279932cd82e0730,60,59,train/02cbfa27d9e4b1d8c279932cd82e0730.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02cd1d17763c869ff3d4af5e28539456,61,60,train/02cd1d17763c869ff3d4af5e28539456.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02d9d0c89022adc381c23e72add7c389,62,61,train/02d9d0c89022adc381c23e72add7c389.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02de1ec3340e75fd5e7294a84a0342a1,63,62,train/02de1ec3340e75fd5e7294a84a0342a1.dicom
ABSENT,ABSENT,3035,2800,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02efc4e2e6e71e024fbfecb404a008a4,64,63,train/02efc4e2e6e71e024fbfecb404a008a4.dicom
ABSENT,ABSENT,3107,2736,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,02fe3eea41166a1d3eb75307a12c4a63,65,64,train/02fe3eea41166a1d3eb75307a12c4a63.dicom
ABSENT,ABSENT,2500,2048,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,032111ac5bb2e0cbb9a22745a77eef8f,66,65,train/032111ac5bb2e0cbb9a22745a77eef8f.dicom
ABSENT,ABSENT,2725,2825,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2183,3893,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0339aac16e3dd93ee397315a224147a6,67,66,train/0339aac16e3dd93ee397315a224147a6.dicom
ABSENT,ABSENT,2288,1952,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,,,False,False,False,0,False,0,,,0,0,False,ABSENT,ABSENT,False,0,,,False,False,033dae57cec0aca171d47090f299bed2,68,67,train/033dae57cec0aca171d47090f299bed2.dicom
ABSENT,ABSENT,3197,2874,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2336,3407,1,1,False,ABSENT,ABSENT,False,0,,,False,False,033e1637bed9b9f3dccac9c6c419adc2,69,68,train/033e1637bed9b9f3dccac9c6c419adc2.dicom
ABSENT,ABSENT,2952,2560,MONOCHROME2,1.2.840.10008.1.2.4.90,16,14,13,0,1,,1,1.000,0.000,True,True,False,0,False,0,8865,7720,1,1,False,ABSENT,ABSENT,False,0,,,False,False,03431b577d1ccf075e930c4c4913c079,70,69,train/03431b577d1ccf075e930c4c4913c079.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,034cf2b503a9a7efe404f000fb988534,71,70,train/034cf2b503a9a7efe404f000fb988534.dicom
ABSENT,ABSENT,2616,1888,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,,,False,False,False,0,False,0,,,0,0,False,ABSENT,ABSENT,False,0,,,False,False,035480fbf46e946e21e7dce78637c329,72,71,train/035480fbf46e946e21e7dce78637c329.dicom
ABSENT,ABSENT,2315,2285,MONOCHROME2,1.2.840.10008.1.2.4.90,16,16,15,0,1,1,1,,,False,False,False,0,False,0,32767,65535,1,1,False,ABSENT,ABSENT,False,0,,,False,False,035b53e8aabf8763537a296c291135d1,73,72,train/035b53e8aabf8763537a296c291135d1.dicom
ABSENT,ABSENT,3000,3000,MONOCHROME2,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1.0,0.0,True,True,False,0,False,0,2047.0,4095.0,1,1,False,ABSENT,ABSENT,False,0,,,False,False,036161ca6aa4daa43cc3bc55602e8960,74,73,train/036161ca6aa4daa43cc3bc55602e8960.dicom
ABSENT,ABSENT,2688,2660,MONOCHROME2,1.2.840.10008.1.2.4.90,16,14,13,0,1,,1,1.000,0.000,True,True,False,0,False,0,8120,6424,1,1,False,ABSENT,ABSENT,False,0,,,False,False,036b9096b099f0f6c5611da078f73e43,75,74,train/036b9096b099f0f6c5611da078f73e43.dicom
ABSENT,ABSENT,2892,2524,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,,1,1.000,0.000,True,True,False,0,False,0,8190,7223,1,1,False,ABSENT,ABSENT,False,0,,,False,False,03810755ae5721d65884360e3bccbf9b,76,75,train/03810755ae5721d65884360e3bccbf9b.dicom
ABSENT,ABSENT,2746,2736,MONOCHROME2,1.2.840.10008.1.2.1,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2160,3989,1,1,False,ABSENT,ABSENT,False,0,,,False,False,038a7c88fcd819549f430c1fd907658c,77,76,train/038a7c88fcd819549f430c1fd907658c.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,038fc325ff4aa0a21c76d5dd7c740c89,78,77,train/038fc325ff4aa0a21c76d5dd7c740c89.dicom
ABSENT,ABSENT,3072,2836,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,9353,11986,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0391d2388a2442f14d055d5089a747c6,79,78,train/0391d2388a2442f14d055d5089a747c6.dicom
ABSENT,ABSENT,2032,1848,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,,,False,False,False,0,False,0,,,0,0,False,ABSENT,ABSENT,False,0,,,False,False,039c6997248b3a6ba3c909af35fce0eb,80,79,train/039c6997248b3a6ba3c909af35fce0eb.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,03a6078c0c12fb076b50ae017e590e19,81,80,train/03a6078c0c12fb076b50ae017e590e19.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,03cd593a310656563a5aa3886ff30380,82,81,train/03cd593a310656563a5aa3886ff30380.dicom
ABSENT,ABSENT,2806,2477,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2133,3277,1,1,False,ABSENT,ABSENT,False,0,,,False,False,03dd99aa091caee7b0ce8efdf7f274d5,83,82,train/03dd99aa091caee7b0ce8efdf7f274d5.dicom
ABSENT,ABSENT,2992,2776,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,,1,1.000,0.000,True,True,False,0,False,0,8456,7076,1,1,False,ABSENT,ABSENT,False,0,,,False,False,03e6ecfa6f6fb33dfeac6ca4f9b459c9,84,83,train/03e6ecfa6f6fb33dfeac6ca4f9b459c9.dicom
