feature,feature_kind,covered,selected_count,selected_image_ids
NumberOfFrames_effective=1,NumberOfFrames_effective,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
PhotometricInterpretation=MONOCHROME1,PhotometricInterpretation,True,15,0d30dc1e0070e7a934f39452e3ad3b83;18e91ea53a6b6829c70ae2d762605c21;21cc15968368582b548bdc50f24d1ce5;324c908cb345ed14be7a468a56f1ceba;4b001bab36d94f73c1ead3ab74690dbc;781337185d4b99902d0ebfd2867feab8;862f0aaa5644a8a01e86ff585005a259;8d6a0dcadf3c7322e146e729f4ac4ebf;b3f4af84fa71fe204eb105ce430deef3;cb8fd53c4498aa62dd48c184beb050bd;de15c0fca6c7441dd089122ad074a7f3;e2de831b92a2dc7237d2b1885ee4bb9c;f42000d2ffb02c74c696fba7678c51a6;fd80612e19d0c248b8477125cba4a350;ff612a13f0bf475515259b986735c4e4
PhotometricInterpretation=MONOCHROME2,PhotometricInterpretation,True,49,0d0e4dbe84356f8ec4a4ff7616b4850f;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;513203e29fe43941076e37a945e58c36;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;61e0b38cea96d57adb044ac496e556ff;63236a382e8f97864ea5af5d1c7a5d5a
PixelRepresentation=0,PixelRepresentation,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
PresentationLUTSequence_present=False,PresentationLUTSequence_present,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
PresentationLUTShape=ABSENT,PresentationLUTShape,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
SOPClassUID=ABSENT,SOPClassUID,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
SamplesPerPixel=1,SamplesPerPixel,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
TransferSyntaxUID=1.2.840.10008.1.2,TransferSyntaxUID,True,28,18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;1d8f4d5daf11f2b01695b71a862aa813;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;6d80520d7518642b92a089b028407104;781337185d4b99902d0ebfd2867feab8;7978725e43f1b301551e0fdbc32faef5;7b87ff45f630da27a103b7e587bc6fd1;7c42de6dd248ce53880debab2567b521;8b09d4ec88d8372bded8547543dbbf24;8d6a0dcadf3c7322e146e729f4ac4ebf;9378e938afe891b372d0d7a1924c7aa5
TransferSyntaxUID=1.2.840.10008.1.2.1,TransferSyntaxUID,True,9,15acee7728e6530dfa2bd01521c7148d;191af4a0c5c47c05b06b88f7d6ec671d;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;7ac7db2d39f2342de386188e72cd0a72;90294c2e98cf161d97c32633e5a67ab1;aea448a9f33bf9919de6c74e0aa488e7;b770403a1d0ab861f1944f8b896afcae;c2c54eed2dd73e20ef0e5af5a4aa1feb
TransferSyntaxUID=1.2.840.10008.1.2.4.90,TransferSyntaxUID,True,27,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;18ee5156937f823acee35e15110c6521;21cc15968368582b548bdc50f24d1ce5;324c908cb345ed14be7a468a56f1ceba;513203e29fe43941076e37a945e58c36;61e0b38cea96d57adb044ac496e556ff;63236a382e8f97864ea5af5d1c7a5d5a;862f0aaa5644a8a01e86ff585005a259;93cb971f3c5504f1362de4367f9199d1;9c9f556eea533f066368e0f4a452bee7;b0bef1b57611726c4b0c636264fe5061;b1f71b5ef16dce633e4033237b761cdf;b3f4af84fa71fe204eb105ce430deef3;b8322e1a06179954c5b5f5ed05083c05;ba683c0053ad11332810ecc509b6c17b;c26185210303f6c638a4ac60e635df21;cb8fd53c4498aa62dd48c184beb050bd;d2e80d6cae14b72a824f1ac625d23472
VOILUTFunction=ABSENT,VOILUTFunction,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
class=0,class,True,31,0d30dc1e0070e7a934f39452e3ad3b83;15acee7728e6530dfa2bd01521c7148d;18e91ea53a6b6829c70ae2d762605c21;191af4a0c5c47c05b06b88f7d6ec671d;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;6d80520d7518642b92a089b028407104;7978725e43f1b301551e0fdbc32faef5;7ac7db2d39f2342de386188e72cd0a72;7b87ff45f630da27a103b7e587bc6fd1;862f0aaa5644a8a01e86ff585005a259;8b09d4ec88d8372bded8547543dbbf24;9378e938afe891b372d0d7a1924c7aa5;93cb971f3c5504f1362de4367f9199d1;9c9f556eea533f066368e0f4a452bee7;afb6230703512afc370f236e8fe98806
class=1,class,True,3,15acee7728e6530dfa2bd01521c7148d;b0bef1b57611726c4b0c636264fe5061;dcb081bb5e1dac41000e96fc37c8c322
class=10,class,True,11,15acee7728e6530dfa2bd01521c7148d;21cc15968368582b548bdc50f24d1ce5;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;8d6a0dcadf3c7322e146e729f4ac4ebf;90294c2e98cf161d97c32633e5a67ab1;a330d6606525415c5e462b9e13ca8452;aea448a9f33bf9919de6c74e0aa488e7;c26185210303f6c638a4ac60e635df21;dcb081bb5e1dac41000e96fc37c8c322
class=11,class,True,17,2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;63236a382e8f97864ea5af5d1c7a5d5a;7b87ff45f630da27a103b7e587bc6fd1;8b09d4ec88d8372bded8547543dbbf24;8d6a0dcadf3c7322e146e729f4ac4ebf;90294c2e98cf161d97c32633e5a67ab1;9c9f556eea533f066368e0f4a452bee7;a330d6606525415c5e462b9e13ca8452;c26185210303f6c638a4ac60e635df21;c2c54eed2dd73e20ef0e5af5a4aa1feb
class=12,class,True,2,0d30dc1e0070e7a934f39452e3ad3b83;dcb081bb5e1dac41000e96fc37c8c322
class=13,class,True,18,2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;45fad4fe08460cf9aec10986ba13c582;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;63236a382e8f97864ea5af5d1c7a5d5a;7978725e43f1b301551e0fdbc32faef5;8d6a0dcadf3c7322e146e729f4ac4ebf;9c9f556eea533f066368e0f4a452bee7;afb6230703512afc370f236e8fe98806;bd24133a5c72fdd62ad820445627b718;c2c54eed2dd73e20ef0e5af5a4aa1feb;cdfac35a0800774db5fe8a6354df64ef;d2e80d6cae14b72a824f1ac625d23472;dcb081bb5e1dac41000e96fc37c8c322;e2de831b92a2dc7237d2b1885ee4bb9c
class=2,class,True,6,3a59363995006fd88ee83584b1e3f6e7;498ac0c4815a890629cf509446a47238;6d80520d7518642b92a089b028407104;9c9f556eea533f066368e0f4a452bee7;b0bef1b57611726c4b0c636264fe5061;bd24133a5c72fdd62ad820445627b718
class=3,class,True,25,0d30dc1e0070e7a934f39452e3ad3b83;15acee7728e6530dfa2bd01521c7148d;18e91ea53a6b6829c70ae2d762605c21;1d8f4d5daf11f2b01695b71a862aa813;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;5156d69e540648eb952371ec5c80bc81;6d80520d7518642b92a089b028407104;7ac7db2d39f2342de386188e72cd0a72;7b87ff45f630da27a103b7e587bc6fd1;862f0aaa5644a8a01e86ff585005a259;8b09d4ec88d8372bded8547543dbbf24;9378e938afe891b372d0d7a1924c7aa5;9c9f556eea533f066368e0f4a452bee7;b0bef1b57611726c4b0c636264fe5061;b770403a1d0ab861f1944f8b896afcae;bd24133a5c72fdd62ad820445627b718;c26185210303f6c638a4ac60e635df21
class=4,class,True,2,dcb081bb5e1dac41000e96fc37c8c322;de15c0fca6c7441dd089122ad074a7f3
class=5,class,True,6,4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;5e7edf8a5f636b67a2a854b284360cfa;9c9f556eea533f066368e0f4a452bee7;afb6230703512afc370f236e8fe98806;b0bef1b57611726c4b0c636264fe5061
class=6,class,True,7,45fad4fe08460cf9aec10986ba13c582;4b001bab36d94f73c1ead3ab74690dbc;5e7edf8a5f636b67a2a854b284360cfa;aea448a9f33bf9919de6c74e0aa488e7;afb6230703512afc370f236e8fe98806;cdfac35a0800774db5fe8a6354df64ef;e2de831b92a2dc7237d2b1885ee4bb9c
class=7,class,True,14,45fad4fe08460cf9aec10986ba13c582;5156d69e540648eb952371ec5c80bc81;7978725e43f1b301551e0fdbc32faef5;90294c2e98cf161d97c32633e5a67ab1;9378e938afe891b372d0d7a1924c7aa5;93cb971f3c5504f1362de4367f9199d1;a330d6606525415c5e462b9e13ca8452;aea448a9f33bf9919de6c74e0aa488e7;afb6230703512afc370f236e8fe98806;c9e29220b5d0f9cfdb250f0872648a89;cdfac35a0800774db5fe8a6354df64ef;dcb081bb5e1dac41000e96fc37c8c322;de15c0fca6c7441dd089122ad074a7f3;f42000d2ffb02c74c696fba7678c51a6
class=8,class,True,12,0d30dc1e0070e7a934f39452e3ad3b83;1d8f4d5daf11f2b01695b71a862aa813;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;513203e29fe43941076e37a945e58c36;8d6a0dcadf3c7322e146e729f4ac4ebf;9378e938afe891b372d0d7a1924c7aa5;9c9f556eea533f066368e0f4a452bee7;b0bef1b57611726c4b0c636264fe5061;b770403a1d0ab861f1944f8b896afcae;de15c0fca6c7441dd089122ad074a7f3;f42000d2ffb02c74c696fba7678c51a6
class=9,class,True,13,0d30dc1e0070e7a934f39452e3ad3b83;15acee7728e6530dfa2bd01521c7148d;21cc15968368582b548bdc50f24d1ce5;5156d69e540648eb952371ec5c80bc81;7b87ff45f630da27a103b7e587bc6fd1;afb6230703512afc370f236e8fe98806;b770403a1d0ab861f1944f8b896afcae;bd24133a5c72fdd62ad820445627b718;cb8fd53c4498aa62dd48c184beb050bd;cdfac35a0800774db5fe8a6354df64ef;d2e80d6cae14b72a824f1ac625d23472;dcb081bb5e1dac41000e96fc37c8c322;f42000d2ffb02c74c696fba7678c51a6
extremum=bbox_abs_max,extremum,True,1,0d30dc1e0070e7a934f39452e3ad3b83
extremum=bbox_abs_min,extremum,True,1,4b001bab36d94f73c1ead3ab74690dbc
extremum=bbox_rel_max,extremum,True,1,0d30dc1e0070e7a934f39452e3ad3b83
extremum=bbox_rel_min,extremum,True,1,498ac0c4815a890629cf509446a47238
extremum=dim_max_h,extremum,True,1,b770403a1d0ab861f1944f8b896afcae
extremum=dim_max_w,extremum,True,1,3fd3aa2d64f365c666ce7de3d5352226
extremum=dim_min_h,extremum,True,1,b3f4af84fa71fe204eb105ce430deef3
extremum=dim_min_w,extremum,True,1,b3f4af84fa71fe204eb105ce430deef3
extremum=px_max,extremum,True,1,191af4a0c5c47c05b06b88f7d6ec671d
extremum=px_min,extremum,True,1,b3f4af84fa71fe204eb105ce430deef3
modality_lut=absent,modality_lut,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
padding=absent,padding,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
rescale=absent,rescale,True,18,0d30dc1e0070e7a934f39452e3ad3b83;2fa7906cc0d122c8ef0a654409b5e1d2;45fad4fe08460cf9aec10986ba13c582;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc;513203e29fe43941076e37a945e58c36;5e7edf8a5f636b67a2a854b284360cfa;7978725e43f1b301551e0fdbc32faef5;7b87ff45f630da27a103b7e587bc6fd1;8d6a0dcadf3c7322e146e729f4ac4ebf;9378e938afe891b372d0d7a1924c7aa5;93cb971f3c5504f1362de4367f9199d1;afb6230703512afc370f236e8fe98806;b3f4af84fa71fe204eb105ce430deef3;bd24133a5c72fdd62ad820445627b718;cdfac35a0800774db5fe8a6354df64ef;dcb081bb5e1dac41000e96fc37c8c322;e2de831b92a2dc7237d2b1885ee4bb9c
rescale=identity,rescale,True,46,0d0e4dbe84356f8ec4a4ff7616b4850f;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;472b196c9371aa9d6e9d23ccf82936c2;5156d69e540648eb952371ec5c80bc81;61e0b38cea96d57adb044ac496e556ff;63236a382e8f97864ea5af5d1c7a5d5a;6d80520d7518642b92a089b028407104;781337185d4b99902d0ebfd2867feab8
