image_id,independent_renderer_status,comparable,note
0d0e4dbe84356f8ec4a4ff7616b4850f,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
b8322e1a06179954c5b5f5ed05083c05,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
18ee5156937f823acee35e15110c6521,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
2d6d1b01427ec2acbdbc2149559585fa,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
2a3cc19a099f06f80007cceb75d43bf0,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
7c42de6dd248ce53880debab2567b521,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
b1f71b5ef16dce633e4033237b761cdf,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
e4dec9c7cb04e431f5c3b41430030184,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
781337185d4b99902d0ebfd2867feab8,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
c2c54eed2dd73e20ef0e5af5a4aa1feb,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
9378e938afe891b372d0d7a1924c7aa5,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
324c908cb345ed14be7a468a56f1ceba,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
cb8fd53c4498aa62dd48c184beb050bd,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
1d8f4d5daf11f2b01695b71a862aa813,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
e2de831b92a2dc7237d2b1885ee4bb9c,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
45fad4fe08460cf9aec10986ba13c582,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
bd24133a5c72fdd62ad820445627b718,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
c9e29220b5d0f9cfdb250f0872648a89,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
e99ba43b91cf30a1df2c4c4adfe7c3b1,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
7978725e43f1b301551e0fdbc32faef5,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
90294c2e98cf161d97c32633e5a67ab1,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
862f0aaa5644a8a01e86ff585005a259,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
d2e80d6cae14b72a824f1ac625d23472,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
8b09d4ec88d8372bded8547543dbbf24,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
b0bef1b57611726c4b0c636264fe5061,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
5156d69e540648eb952371ec5c80bc81,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
2fa7906cc0d122c8ef0a654409b5e1d2,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
8d6a0dcadf3c7322e146e729f4ac4ebf,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
9c9f556eea533f066368e0f4a452bee7,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
cdfac35a0800774db5fe8a6354df64ef,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
fd80612e19d0c248b8477125cba4a350,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
18e91ea53a6b6829c70ae2d762605c21,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
15acee7728e6530dfa2bd01521c7148d,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
f42000d2ffb02c74c696fba7678c51a6,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
3a59363995006fd88ee83584b1e3f6e7,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
de15c0fca6c7441dd089122ad074a7f3,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
472b196c9371aa9d6e9d23ccf82936c2,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
63236a382e8f97864ea5af5d1c7a5d5a,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
c26185210303f6c638a4ac60e635df21,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
aea448a9f33bf9919de6c74e0aa488e7,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
5e7edf8a5f636b67a2a854b284360cfa,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
afb6230703512afc370f236e8fe98806,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
a330d6606525415c5e462b9e13ca8452,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
93cb971f3c5504f1362de4367f9199d1,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
21cc15968368582b548bdc50f24d1ce5,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
ba683c0053ad11332810ecc509b6c17b,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
513203e29fe43941076e37a945e58c36,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
6d80520d7518642b92a089b028407104,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
7ac7db2d39f2342de386188e72cd0a72,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
7b87ff45f630da27a103b7e587bc6fd1,NOT_COMPARABLE_CONFIGURATION_UNCONTROLLED,False,renderer dependency present but comparison configuration is not controlled in this pilot
